name,display_order,category_name,event_type,category_id,id,created_date,updated_date,created_by_id,created_by,is_sample
"עוף","3","מנות עיקריות","serving","6910c2e122b0e770b15ec648","6994700322abeba1a53bf83b","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"ראשונות טבעוני/צמחוני","4","מנות ראשונות","serving","6914a39a9240d3d7b28c638c","6994700322abeba1a53bf838","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"לחמים למרכז שולחן","0","מנות ראשונות","wedding","691ef050418ec1421660f468","6994700322abeba1a53bf844","2026-02-17T13:41:23.793000","2026-03-11T18:23:52.290000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"אנטיפסטי","1","מנות ראשונות","wedding","691ef050418ec1421660f468","6994700322abeba1a53bf842","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"Raw Bar","1","קבלת פנים","serving","6914a3cdd7f1f518fe42db8a","6994700322abeba1a53bf830","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"בר טאפסים","2","קבלת פנים","wedding","691ef050418ec1421660f467","6994700322abeba1a53bf83e","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"טאבון","4","קבלת פנים","wedding","691ef050418ec1421660f467","6994700322abeba1a53bf840","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"ראשונות טבעוני/צמחוני","4","מנות ראשונות","wedding","691ef050418ec1421660f468","6994700322abeba1a53bf845","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.794000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"מסתובבים","5","קבלת פנים","wedding","691ef050418ec1421660f467","6994700322abeba1a53bf841","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"אפרטיף","2","מנות ראשונות","serving","6914a39a9240d3d7b28c638c","6994700322abeba1a53bf836","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"מסתובבים","5","קבלת פנים","serving","6914a3cdd7f1f518fe42db8a","6994700322abeba1a53bf834","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"לחמים למרכז שולחן","3","מנות ראשונות","serving","6914a39a9240d3d7b28c638c","6994700322abeba1a53bf837","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"פלאנצ׳ה","3","קבלת פנים","wedding","691ef050418ec1421660f467","6994700322abeba1a53bf83f","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"בר טאפסים","2","קבלת פנים","serving","6914a3cdd7f1f518fe42db8a","6994700322abeba1a53bf831","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"בשר","2","מנות עיקריות","serving","6910c2e122b0e770b15ec648","6994700322abeba1a53bf83a","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"Raw Bar","1","קבלת פנים","wedding","691ef050418ec1421660f467","6994700322abeba1a53bf83d","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
